rootId:START_ID,rootId:END_ID,surah:int,verse:int,:TYPE
1,72,2,19,OCCURS
1,78,2,19,OCCURS
1,79,2,19,OCCURS
1,80,2,19,OCCURS
1,81,2,19,OCCURS
1,82,2,19,OCCURS
1,83,2,19,OCCURS
1,84,2,19,OCCURS
1,85,2,19,OCCURS
1,86,2,19,OCCURS
1,31,2,19,OCCURS
72,78,2,19,OCCURS
72,79,2,19,OCCURS
72,80,2,19,OCCURS
72,81,2,19,OCCURS
72,82,2,19,OCCURS
72,83,2,19,OCCURS
72,84,2,19,OCCURS
72,85,2,19,OCCURS
72,86,2,19,OCCURS
72,31,2,19,OCCURS
78,79,2,19,OCCURS
78,80,2,19,OCCURS
78,81,2,19,OCCURS
78,82,2,19,OCCURS
78,83,2,19,OCCURS
78,84,2,19,OCCURS
78,85,2,19,OCCURS
78,86,2,19,OCCURS
78,31,2,19,OCCURS
79,80,2,19,OCCURS
79,81,2,19,OCCURS
79,82,2,19,OCCURS
79,83,2,19,OCCURS
79,84,2,19,OCCURS
79,85,2,19,OCCURS
79,86,2,19,OCCURS
79,31,2,19,OCCURS
80,81,2,19,OCCURS
80,82,2,19,OCCURS
80,83,2,19,OCCURS
80,84,2,19,OCCURS
80,85,2,19,OCCURS
80,86,2,19,OCCURS
80,31,2,19,OCCURS
81,82,2,19,OCCURS
81,83,2,19,OCCURS
81,84,2,19,OCCURS
81,85,2,19,OCCURS
81,86,2,19,OCCURS
81,31,2,19,OCCURS
82,83,2,19,OCCURS
82,84,2,19,OCCURS
82,85,2,19,OCCURS
82,86,2,19,OCCURS
82,31,2,19,OCCURS
83,84,2,19,OCCURS
83,85,2,19,OCCURS
83,86,2,19,OCCURS
83,31,2,19,OCCURS
84,85,2,19,OCCURS
84,86,2,19,OCCURS
84,31,2,19,OCCURS
85,86,2,19,OCCURS
85,31,2,19,OCCURS
86,31,2,19,OCCURS
87,79,2,20,OCCURS
87,88,2,20,OCCURS
87,37,2,20,OCCURS
87,89,2,20,OCCURS
87,68,2,20,OCCURS
87,90,2,20,OCCURS
87,72,2,20,OCCURS
87,13,2,20,OCCURS
87,91,2,20,OCCURS
87,70,2,20,OCCURS
87,36,2,20,OCCURS
87,92,2,20,OCCURS
79,88,2,20,OCCURS
79,37,2,20,OCCURS
79,89,2,20,OCCURS
79,68,2,20,OCCURS
79,90,2,20,OCCURS
79,72,2,20,OCCURS
79,13,2,20,OCCURS
79,91,2,20,OCCURS
79,70,2,20,OCCURS
79,36,2,20,OCCURS
79,92,2,20,OCCURS
88,37,2,20,OCCURS
88,89,2,20,OCCURS
88,68,2,20,OCCURS
88,90,2,20,OCCURS
88,72,2,20,OCCURS
88,13,2,20,OCCURS
88,91,2,20,OCCURS
88,70,2,20,OCCURS
88,36,2,20,OCCURS
88,92,2,20,OCCURS
37,89,2,20,OCCURS
37,68,2,20,OCCURS
37,90,2,20,OCCURS
37,72,2,20,OCCURS
37,13,2,20,OCCURS
37,91,2,20,OCCURS
37,70,2,20,OCCURS
37,36,2,20,OCCURS
37,92,2,20,OCCURS
89,68,2,20,OCCURS
89,90,2,20,OCCURS
89,72,2,20,OCCURS
89,13,2,20,OCCURS
89,91,2,20,OCCURS
89,70,2,20,OCCURS
89,36,2,20,OCCURS
89,92,2,20,OCCURS
68,90,2,20,OCCURS
68,72,2,20,OCCURS
68,13,2,20,OCCURS
68,91,2,20,OCCURS
68,70,2,20,OCCURS
68,36,2,20,OCCURS
68,92,2,20,OCCURS
90,72,2,20,OCCURS
90,13,2,20,OCCURS
90,91,2,20,OCCURS
90,70,2,20,OCCURS
90,36,2,20,OCCURS
90,92,2,20,OCCURS
72,13,2,20,OCCURS
72,91,2,20,OCCURS
72,70,2,20,OCCURS
72,36,2,20,OCCURS
72,92,2,20,OCCURS
13,91,2,20,OCCURS
13,70,2,20,OCCURS
13,36,2,20,OCCURS
13,92,2,20,OCCURS
91,70,2,20,OCCURS
91,36,2,20,OCCURS
91,92,2,20,OCCURS
70,36,2,20,OCCURS
70,92,2,20,OCCURS
36,92,2,20,OCCURS
41,9,2,21,OCCURS
41,4,2,21,OCCURS
41,93,2,21,OCCURS
41,27,2,21,OCCURS
41,20,2,21,OCCURS
9,4,2,21,OCCURS
9,93,2,21,OCCURS
9,27,2,21,OCCURS
9,20,2,21,OCCURS
4,93,2,21,OCCURS
4,27,2,21,OCCURS
4,20,2,21,OCCURS
93,27,2,21,OCCURS
93,20,2,21,OCCURS
27,20,2,21,OCCURS
80,52,2,22,OCCURS
80,94,2,22,OCCURS
80,1,2,22,OCCURS
80,95,2,22,OCCURS
80,26,2,22,OCCURS
80,96,2,22,OCCURS
80,97,2,22,OCCURS
80,98,2,22,OCCURS
80,24,2,22,OCCURS
80,99,2,22,OCCURS
80,5,2,22,OCCURS
52,94,2,22,OCCURS
52,1,2,22,OCCURS
52,95,2,22,OCCURS
52,26,2,22,OCCURS
52,96,2,22,OCCURS
52,97,2,22,OCCURS
52,98,2,22,OCCURS
52,24,2,22,OCCURS
52,99,2,22,OCCURS
52,5,2,22,OCCURS
94,1,2,22,OCCURS
94,95,2,22,OCCURS
94,26,2,22,OCCURS
94,96,2,22,OCCURS
94,97,2,22,OCCURS
94,98,2,22,OCCURS
94,24,2,22,OCCURS
94,99,2,22,OCCURS
94,5,2,22,OCCURS
1,95,2,22,OCCURS
1,26,2,22,OCCURS
1,96,2,22,OCCURS
1,97,2,22,OCCURS
1,98,2,22,OCCURS
1,24,2,22,OCCURS
1,99,2,22,OCCURS
1,5,2,22,OCCURS
95,26,2,22,OCCURS
95,96,2,22,OCCURS
95,97,2,22,OCCURS
95,98,2,22,OCCURS
95,24,2,22,OCCURS
95,99,2,22,OCCURS
95,5,2,22,OCCURS
26,96,2,22,OCCURS
26,97,2,22,OCCURS
26,98,2,22,OCCURS
26,24,2,22,OCCURS
26,99,2,22,OCCURS
26,5,2,22,OCCURS
96,97,2,22,OCCURS
96,98,2,22,OCCURS
96,24,2,22,OCCURS
96,99,2,22,OCCURS
96,5,2,22,OCCURS
97,98,2,22,OCCURS
97,24,2,22,OCCURS
97,99,2,22,OCCURS
97,5,2,22,OCCURS
98,24,2,22,OCCURS
98,99,2,22,OCCURS
98,5,2,22,OCCURS
24,99,2,22,OCCURS
24,5,2,22,OCCURS
99,5,2,22,OCCURS
49,19,2,23,OCCURS
49,26,2,23,OCCURS
49,9,2,23,OCCURS
49,100,2,23,OCCURS
49,101,2,23,OCCURS
49,65,2,23,OCCURS
49,102,2,23,OCCURS
49,103,2,23,OCCURS
49,104,2,23,OCCURS
49,105,2,23,OCCURS
19,26,2,23,OCCURS
19,9,2,23,OCCURS
19,100,2,23,OCCURS
19,101,2,23,OCCURS
19,65,2,23,OCCURS
19,102,2,23,OCCURS
19,103,2,23,OCCURS
19,104,2,23,OCCURS
19,105,2,23,OCCURS
26,9,2,23,OCCURS
26,100,2,23,OCCURS
26,101,2,23,OCCURS
26,65,2,23,OCCURS
26,102,2,23,OCCURS
26,103,2,23,OCCURS
26,104,2,23,OCCURS
26,105,2,23,OCCURS
9,100,2,23,OCCURS
9,101,2,23,OCCURS
9,65,2,23,OCCURS
9,102,2,23,OCCURS
9,103,2,23,OCCURS
9,104,2,23,OCCURS
